Name,price,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield,potencial
LianBio,0.30383155,United States,-108883750.0,32832947.8352,-0.403797,0.0,108062996.86520377,1.3661471477201766e-05,Empresas de Baixo Potencial
LMP Automotive Holdings,0.152392,United States,1468787.5,1818265.148,-0.150943,398107960.0,11931500.0,1.3661471477201766e-05,Empresas de Baixo Potencial
MBIA,3.4097709999999997,United States,-828750000.0,173994480.352,-0.710317,-60000000.0,51028201.11731844,1.3661471477201766e-05,Empresas de Baixo Potencial
TRxADE HEALTH,7.2290955,United States,-25186500.0,12651351.4422,-1.53333,5536443.75,1750060.0790513833,1.3661471477201766e-05,Empresas de Baixo Potencial
Merrimack Pharmaceuticals,14.4105685,United States,-2823750.0,213109255.01520002,-52.23688250000001,0.0,14788400.264375413,1.3661471477201766e-05,Empresas de Baixo Potencial
Tourmaline Bio,23.43027,United States,-68982500.0,600784917.5584,-25.8068,0.0,25641399.67479675,1.3661471477201766e-05,Empresas de Baixo Potencial
Méliuz,0.7000678941,Brazil,187603.75,61024425.8549,-6.5384,83461023.75,87169296.53423454,1.3661471477201766e-05,Empresas de Baixo Potencial
LENZ Therapeutics,22.954045,United States,-75635000.0,631160483.4368,-8.77295,0.0,27496699.751037344,1.3661471477201766e-05,Empresas de Baixo Potencial
B. Riley Financial,4.8670195,United States,-59413750.0,147447824.4304,3.23476,1943177500.0,30295301.761252448,1.3661471477201766e-05,Empresas de Baixo Potencial
FutureFuel,5.3400061700000006,United States,51022500.0,233695753.14240003,5.91579,424313750.0,43763199.08679057,1.3661471477201766e-05,Empresas de Baixo Potencial
Ecopetrol,8.56290648,Colombia,1220532500.0,15534204037.670837,3.26372,10562148750.0,468084400.97929186,1.3661471477201766e-05,Empresas de Muito Alto Potencial
Spirit Airlines,2.3192157499999997,United States,-791946250.0,253995860.984,-0.497959,6408411250.0,109517995.89322382,1.3661471477201766e-05,Empresas de Potencial Mediano
Icahn Enterprises,12.639011499999999,United States,-790000000.0,6009382726.758375,-5.0814,10562148750.0,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
MarketWise,0.647666,United States,72187500.0,25182160.812400002,23.603,540427500.0,38881400.00000001,1.3661471477201766e-05,Empresas de Baixo Potencial
Allied Tecnologia,1.303046845,Brazil,63219875.0,122269625.81,10.3934,1392678576.25,93833637.89196697,1.3661471477201766e-05,Empresas de Baixo Potencial
Diversified Energy,10.48895087,United States,1220532500.0,508767440.10825,0.0,1085328750.0,48505083.722281754,1.3661471477201766e-05,Empresas de Baixo Potencial
Saga Communications,13.810525,United States,10631250.0,86474322.2672,10.518,139625000.0,6261479.724137931,1.3661471477201766e-05,Empresas de Baixo Potencial
Softchoice,12.590341304999999,Canada,87992500.0,759562111.8799999,27.5943,953461250.0,60328953.241192535,1.3661471477201766e-05,Empresas de Baixo Potencial
Office Properties Income Trust,2.057196755,United States,44251250.0,109740336.55,-3.98148,662818750.0,53344599.287004024,1.3661471477201766e-05,Empresas de Baixo Potencial
Big 5 Sporting Goods,2.04548162,United States,-43685000.0,46450635.9984,12.4706,1036862500.0,22708899.236356866,1.3661471477201766e-05,Empresas de Baixo Potencial
CVR Energy,21.811104999999998,United States,917500000.0,2192692170.0863748,2.94904,10562148750.0,100530998.77729143,1.3661471477201766e-05,Empresas de Potencial Mediano
Oxford Square Capital,2.6763845,United States,3590950.0,170640652.4552,-6.66667,10168066.25,63757898.932384335,1.3661471477201766e-05,Empresas de Baixo Potencial
Orchid Island Capital,7.791041,United States,-47760000.0,576513687.5456,70.237755,-26727500.0,73997003.42298289,1.3661471477201766e-05,Empresas de Baixo Potencial
ARMOUR Residential REIT,19.591896499999997,United States,-141700000.0,955410549.8624,-6.10417,-123133750.0,48765598.05542052,1.3661471477201766e-05,Empresas de Baixo Potencial
Oxford Lane Capital,4.95635931,United States,-214111250.0,1588017538.16325,0.0,-198041887.5,320400003.07468635,1.3661471477201766e-05,Empresas de Baixo Potencial
AFC Gamma,9.7054655,United States,21180375.0,200583821.2728,5.91061,64217693.75,20667099.509322867,1.3661471477201766e-05,Empresas de Baixo Potencial
Eagle Point Credit Company,9.3054365,United States,-28846000.0,909891181.376,2.46701,35691676.25,97780601.84237461,1.3661471477201766e-05,Empresas de Baixo Potencial
Sachem Capital,2.42398525,United States,8368900.0,114640691.8,5.54348,39919818.75,47294302.554027505,1.3661471477201766e-05,Empresas de Baixo Potencial
Runway Growth Finance,9.8273791,United States,37968750.0,378818929.048,6.425,52176250.0,38547299.86431479,1.3661471477201766e-05,Empresas de Baixo Potencial
Petrobras,13.724042540000001,Brazil,1220532500.0,15534204037.670837,0.710291,10562148750.0,468084400.97929186,2.5724028277283568e-06,Empresas de Muito Alto Potencial
Granite Point Mortgage Trust,3.0383155,United States,-214483750.0,153994295.2056,-2.21528,71323750.0,50684102.821316615,1.3661471477201766e-05,Empresas de Baixo Potencial
Guess,19.0394755,United States,290313750.0,979053620.0511999,7.54887,3583403750.0,51422299.949974984,1.3661471477201766e-05,Empresas de Baixo Potencial
Silver Spike Investment,10.2578865,United States,6980375.0,63752358.8538,15.6087,13553975.0,6214960.445682451,1.3661471477201766e-05,Empresas de Baixo Potencial
Service Properties Trust,4.5527109999999995,United States,-240482500.0,755244694.128,-52.23688250000001,2362591250.0,165889004.18410042,1.3661471477201766e-05,Empresas de Baixo Potencial
SandRidge Energy,11.372253,United States,67926250.0,422838546.90559995,2.19039,160418750.0,37181598.65996649,1.3661471477201766e-05,Empresas de Baixo Potencial
Walgreens Boots Alliance,8.57681225,United States,-871390937.5,7404147946.57275,-2.35938,10562148750.0,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
Ready Capital,7.257669,United States,-154078750.0,1229739435.36,2.81655,106450000.0,169440000.0,1.3661471477201766e-05,Empresas de Baixo Potencial
Cherry Hill Mortgage Investment,3.43891597,United States,-3746250.0,105482557.40720001,-42.0,15701250.0,30673200.022156984,1.3661471477201766e-05,Empresas de Baixo Potencial
Ares Commercial Real Estate,6.705248,United States,-60972500.0,365561404.1376,-52.23688250000001,12406250.0,54518699.99999999,1.3661471477201766e-05,Empresas de Baixo Potencial
Park Hotels &amp; Resorts,13.71528,United States,497500000.0,2865354846.976,-52.23688250000001,3361250000.0,208916977.77777776,1.3661471477201766e-05,Empresas de Baixo Potencial
NexPoint Real Estate Finance,14.79840614,United States,-2052500.0,332956739.51839995,-52.23688250000001,-12775000.0,22499500.038616996,1.3661471477201766e-05,Empresas de Baixo Potencial
Portman Ridge,17.372688,United States,15012500.0,160593478.3736,-8.86341,16717500.0,9244020.175438596,1.3661471477201766e-05,Empresas de Baixo Potencial
FS KKR Capital,18.8375561,United States,822500000.0,5275758860.97925,19.81,891250000.0,280065993.32592034,1.3661471477201766e-05,Empresas de Alto Potencial
Canacol Energy,2.5068388754999997,Canada,145692500.0,85510659.07335,0.462276,424833750.0,34110951.40938985,1.3661471477201766e-05,Empresas de Baixo Potencial
Apollo Commercial Real Estate,8.729489984999999,United States,30660000.0,1207698919.4431999,-52.23688250000001,416056250.0,138347019.30105942,1.3661471477201766e-05,Empresas de Baixo Potencial
Trinity Capital,12.8104525,United States,103060000.0,683701526.6719999,17.859,164495000.0,53370599.25650557,1.3661471477201766e-05,Empresas de Baixo Potencial
Gladstone Investment,13.796238249999998,United States,87491250.0,506166035.3296,6.28634,81723750.0,36688699.20607525,1.3661471477201766e-05,Empresas de Baixo Potencial
Berry Corporation,4.76225,United States,-371250.0,366402760.3696,8.38333,1055583750.0,76939001.6,1.3661471477201766e-05,Empresas de Baixo Potencial
TTEC,5.171803499999999,United States,-192932500.0,246818624.4816,2.97794,2924825000.0,47723898.34254144,1.3661471477201766e-05,Empresas de Baixo Potencial
Natural Health Trends,5.344673175,United States,1547500.0,61553528.974,70.237755,53722500.0,11516799.429742495,1.3661471477201766e-05,Empresas de Baixo Potencial
CION Investment,11.315106,United States,158900000.0,604841104.944,16.5,173097500.0,53454303.03030304,1.3661471477201766e-05,Empresas de Baixo Potencial
Great Ajax,3.18594525,United States,-143590000.0,145302998.46559998,-1.80645,-105423750.0,45607500.149476826,1.3661471477201766e-05,Empresas de Baixo Potencial
Great Elm Capital,9.619745,United States,13063750.0,100525375.1804,11.5977,19328750.0,10449900.198019803,1.3661471477201766e-05,Empresas de Baixo Potencial
BrightSpire Capital,5.343244499999999,United States,-127180000.0,697982729.6032,70.237755,473796250.0,130629008.1996435,1.3661471477201766e-05,Empresas de Baixo Potencial
CVR Partners,64.19513,United States,62152500.0,678516846.048,2.76343,665971250.0,10569600.0,1.3661471477201766e-05,Empresas de Baixo Potencial
New York Mortgage Trust,6.0147217500000005,United States,-206218750.0,544809872.9952,-3.52973,333297500.0,90579397.62470308,1.3661471477201766e-05,Empresas de Baixo Potencial
Ellington Residential Mortgage REIT,6.6004784999999995,United States,5491250.0,167170320.87440002,69.9,13662500.0,25327000.288600292,1.3661471477201766e-05,Empresas de Baixo Potencial
AGNC Investment,9.886335755,United States,518750000.0,7735701734.86075,27.7105,642500000.0,468084400.97929186,1.3661471477201766e-05,Empresas de Alto Potencial
